════════════════════════════════════════════════════════
  notorch — JANUS 15M base training
  DIM=320 L=8 H=5 HD=64 FFN=1024 CTX=128 V=4096 RRPRAM_R=64
  Triple attn (MHA + RRPRAM-LR + Janus Echo), 1/3 blend, single W
  Chuck, 15000 steps, lr=6.0e-04 cosine, warmup 1500
════════════════════════════════════════════════════════
train: 8744739 tokens, val: 460249 tokens
model: 16291136 params (62.15 MB fp32)
karpathy: 0.220 epochs over 15000 steps (anti-chinchilla)

training...
─────────────────────────────────────────────────────────
  step     1/15000 | train 8.3453 | best 8.3453 | lr 6.00e-05 | 3.3s (eta 827m)
  step  2800/15000 | train 5.4378 | best 4.7989 | lr 5.88e-04 | 6425.6s (eta 467m)
  step  2850/15000 | train 5.5804 | best 4.7989 | lr 5.87e-04 | 6535.6s (eta 464m)
  step  2900/15000 | train 5.4640 | best 4.7989 | lr 5.86e-04 | 6645.4s (eta 462m)
  step  2950/15000 | train 5.7691 | best 4.7989 | lr 5.85e-04 | 6755.7s (eta 460m)
  step  3000/15000 | train 5.6176 | best 4.7989 | lr 5.84e-04 | 6866.2s (eta 458m)
  ──── eval step 3000 | val 5.5395
  step  3050/15000 | train 5.7226 | best 4.3207 | lr 5.83e-04 | 6991.8s (eta 457m)
  step  3100/15000 | train 5.5551 | best 4.3207 | lr 5.82e-04 | 7097.6s (eta 454m)
  step  3150/15000 | train 6.0170 | best 4.3207 | lr 5.80e-04 | 7197.9s (eta 451m)
  step  3200/15000 | train 5.2311 | best 4.3207 | lr 5.79e-04 | 7298.8s (eta 449m)
  step  3250/15000 | train 5.8507 | best 4.3207 | lr 5.78e-04 | 7399.6s (eta 446m)
  step  3300/15000 | train 5.9264 | best 4.3207 | lr 5.77e-04 | 7501.3s (eta 443m)
  step  3350/15000 | train 5.8085 | best 4.3207 | lr 5.75e-04 | 7602.8s (eta 441m)
  step  3400/15000 | train 5.6697 | best 4.3207 | lr 5.74e-04 | 7704.4s (eta 438m)
  step  3450/15000 | train 5.5699 | best 4.3207 | lr 5.73e-04 | 7806.1s (eta 436m)
  step  3500/15000 | train 5.4456 | best 4.3207 | lr 5.71e-04 | 7907.9s (eta 433m)
  ──── eval step 3500 | val 5.4880
  step  3550/15000 | train 5.1333 | best 4.3207 | lr 5.70e-04 | 8023.8s (eta 431m)
  step  3600/15000 | train 5.3938 | best 4.3207 | lr 5.68e-04 | 8125.9s (eta 429m)
  step  3650/15000 | train 5.6269 | best 4.3207 | lr 5.67e-04 | 8228.1s (eta 426m)
  step  3700/15000 | train 5.3158 | best 4.3207 | lr 5.65e-04 | 8330.5s (eta 424m)
  step  3750/15000 | train 5.9918 | best 4.3207 | lr 5.64e-04 | 8432.9s (eta 422m)
  step  3800/15000 | train 5.6195 | best 4.3207 | lr 5.62e-04 | 8540.6s (eta 420m)
  step  3850/15000 | train 5.3408 | best 4.3207 | lr 5.61e-04 | 8643.0s (eta 417m)
  step  3900/15000 | train 5.6972 | best 4.3207 | lr 5.59e-04 | 8745.5s (eta 415m)
  step  3950/15000 | train 5.8456 | best 4.3207 | lr 5.57e-04 | 8848.0s (eta 413m)
  step  4000/15000 | train 5.6774 | best 4.3207 | lr 5.56e-04 | 8950.5s (eta 410m)
  ──── eval step 4000 | val 5.4575
  step  4050/15000 | train 5.2809 | best 4.3207 | lr 5.54e-04 | 9066.6s (eta 409m)
  step  4100/15000 | train 5.1752 | best 4.3207 | lr 5.52e-04 | 9168.4s (eta 406m)
  step  4150/15000 | train 5.3336 | best 4.3207 | lr 5.50e-04 | 9269.9s (eta 404m)
  step  4200/15000 | train 5.2740 | best 4.3207 | lr 5.48e-04 | 9371.0s (eta 402m)
  step  4250/15000 | train 6.1964 | best 4.3207 | lr 5.47e-04 | 9472.4s (eta 399m)
  step  4300/15000 | train 5.6127 | best 4.3207 | lr 5.45e-04 | 9574.2s (eta 397m)
  step  4350/15000 | train 5.8126 | best 3.9225 | lr 5.43e-04 | 9675.7s (eta 395m)
  step  4400/15000 | train 4.8969 | best 3.9225 | lr 5.41e-04 | 9777.1s (eta 393m)
  step  4450/15000 | train 5.0816 | best 3.9225 | lr 5.39e-04 | 9878.5s (eta 390m)
  step  4500/15000 | train 5.3841 | best 3.9225 | lr 5.37e-04 | 9979.8s (eta 388m)
  ──── eval step 4500 | val 5.4196
  step  4550/15000 | train 5.2423 | best 3.9225 | lr 5.35e-04 | 10094.6s (eta 386m)
  step  4600/15000 | train 5.0897 | best 3.9225 | lr 5.33e-04 | 10196.0s (eta 384m)
  step  4650/15000 | train 5.4207 | best 3.9225 | lr 5.31e-04 | 10297.3s (eta 382m)
  step  4700/15000 | train 4.8857 | best 3.9225 | lr 5.29e-04 | 10398.7s (eta 380m)
  step  4750/15000 | train 5.5372 | best 3.9225 | lr 5.26e-04 | 10500.2s (eta 378m)
